Subject,Number,Section,Type,Title,Credits,Instructor,Delivery Mode,Scheduling Status,Time Slot,Duration,Days,Start,End,Building,Room,Cross-List,CRN,Seats Available,Source Row
MATH,0803,001,,FOUNDATIONS OF COLLEGE MATH,,"Winn, Janet L.",in_person,scheduled,TR 9:30am,80,TR,09:30:00,10:50:00,Corley,103,,20450,-21 / 0 / 36,2
MATH,0803,002,,FOUNDATIONS OF COLLEGE MATH,,"Growns, Landon C.",in_person,scheduled,MWF 9:00am,50,MWF,09:00:00,09:50:00,Ross Pendergraft Library,331,,20472,-24 / 0 / 30,3
MATH,0803,003,,FOUNDATIONS OF COLLEGE MATH,,"Ballard, Kasey L.",in_person,scheduled,MWF 1:00pm,50,MWF,13:00:00,13:50:00,Corley,103,,20483,-15 / 0 / 36,4
MATH,0803,TC1,,FOUNDATIONS OF COLLEGE MATH,,"King, Jamie L.",arranged,unscheduled,,,,,,,,,20461,-13 / 0 / na,5
MATH,0903,001,,BEGIN/INTERMEDIATE ALGEBRA,,"Hogan, Jessica L.",in_person,scheduled,TR 11:00am,80,TR,11:00:00,12:20:00,Corley,104,,20466,-19 / 0 / 36,6
MATH,0903,002,,BEGIN/INTERMEDIATE ALGEBRA,,"Winn, Janet L.",in_person,scheduled,MWF 8:00am,50,MWF,08:00:00,08:50:00,Corley,104,,20452,-19 / 0 / 36,7
MATH,0903,TC1,,BEGIN/INTERMEDIATE ALGEBRA,,"Hogan, Jessica L.",arranged,unscheduled,,,,,,,,,20468,-5 / 0 / na,8
MATH,1003,001,,COLLEGE MATHEMATICS,,"Winn, Janet L.",in_person,scheduled,MWF 9:00am,50,MWF,09:00:00,09:50:00,Corley,103,,20451,-21 / 0 / 36,9
MATH,1003,002,,COLLEGE MATHEMATICS,,"Growns, Landon C.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Ross Pendergraft Library,331,,20474,-24 / 0 / 30,10
MATH,1003,003,,COLLEGE MATHEMATICS,,"Ballard, Kasey L.",in_person,scheduled,MWF 2:00pm,50,MWF,14:00:00,14:50:00,Corley,103,,20484,-15 / 0 / 36,11
MATH,1003,005,,COLLEGE MATHEMATICS,,"Winn, Janet L.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Corley,104,,20454,5 / 32 / 36,12
