"Term_Code","Term_Desc","Level","CRN","Subject","Number","Section","Session","Course_Status","Title","Meeting_Days","Meeting_Times","Building","Room","Seats_Avail","Start_Date","End_Date","Instructor","course_id","Campus","Delivery_Method","LOCATION"
202670,"Fall Term 2026",Undergraduate,70244,MATH,0803,001,01,Active,"FOUNDATIONS OF COLLEGE MATH",MWF,"01:00 pm-01:50 pm",Rothwell,221,"-18 / 0 / 50",8/19/2026,12/11/2026,"Ballard, Kasey L.","MATH 0803 001, CRN-70244",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70288,MATH,0903,001,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",MWF,"11:00 am-11:50 am",Rothwell,221,"-30 / 0 / 50",8/19/2026,12/11/2026,"King, Jamie L.","MATH 0903 001, CRN-70288",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70224,MATH,0903,002,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",MWF,"01:00 pm-01:50 pm",Corley,104,"-19 / 0 / 36",8/19/2026,12/11/2026,"Bain, Leslie M.","MATH 0903 002, CRN-70224",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70226,MATH,0903,003,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",MWF,"11:00 am-11:50 am","Ross Pendergraft Library",220,"-20 / 0 / 30",8/19/2026,12/11/2026,"Bain, Leslie M.","MATH 0903 003, CRN-70226",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70297,MATH,0903,004,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",MWF,"09:00 am-09:50 am",Corley,103,"-29 / 0 / 36",8/19/2026,12/11/2026,"Winn, Janet L.","MATH 0903 004, CRN-70297",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70299,MATH,0903,005,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",MWF,"02:00 pm-02:50 pm",Corley,103,"-28 / 0 / 36",8/19/2026,12/11/2026,"Winn, Janet L.","MATH 0903 005, CRN-70299",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70283,MATH,0903,006,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",TR,"09:30 am-10:50 am",Rothwell,217,"-23 / 0 / 32",8/19/2026,12/11/2026,"Growns, Landon C.","MATH 0903 006, CRN-70283",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70286,MATH,0903,007,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",TR,"11:00 am-12:20 pm",Corley,101,"-23 / 0 / 42",8/19/2026,12/11/2026,"Growns, Landon C.","MATH 0903 007, CRN-70286",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70278,MATH,0903,TC1,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",TBA,TBA,Unassigned,Unassigned,"-28 / 0 / na",8/19/2026,12/11/2026,"Growns, Landon C.","MATH 0903 TC1, CRN-70278",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202670,"Fall Term 2026",Undergraduate,70246,MATH,1003,001,01,Active,"QUANTITATIVE LITERACY",MWF,"02:00 pm-02:50 pm",Rothwell,221,"-18 / 0 / 50",8/19/2026,12/11/2026,"Ballard, Kasey L.","MATH 1003 001, CRN-70246",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70300,MATH,1003,002,01,Active,"QUANTITATIVE LITERACY",MWF,"11:00 am-11:50 am","Ross Pendergraft Library",331,"3 / 30 / 30",8/19/2026,12/11/2026,"Winn, Janet L.","MATH 1003 002, CRN-70300",M,,"Russellville On-campus"
