"Term_Code","Term_Desc","Level","CRN","Subject","Number","Section","Session","Course_Status","Title","Meeting_Days","Meeting_Times","Building","Room","Seats_Avail","Start_Date","End_Date","Instructor","course_id","Campus","Delivery_Method","LOCATION"
202620,"Spring Term 2026",Undergraduate,20450,MATH,0803,001,01,Active,"FOUNDATIONS OF COLLEGE MATH",TR,"09:30 am-10:50 am",Corley,103,"-21 / 0 / 36",1/12/2026,5/6/2026,"Winn, Janet L.","MATH 0803 001, CRN-20450",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20472,MATH,0803,002,01,Active,"FOUNDATIONS OF COLLEGE MATH",MWF,"09:00 am-09:50 am","Ross Pendergraft Library",331,"-24 / 0 / 30",1/12/2026,5/6/2026,"Growns, Landon C.","MATH 0803 002, CRN-20472",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20483,MATH,0803,003,01,Active,"FOUNDATIONS OF COLLEGE MATH",MWF,"01:00 pm-01:50 pm",Corley,103,"-15 / 0 / 36",1/12/2026,5/6/2026,"Ballard, Kasey L.","MATH 0803 003, CRN-20483",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20461,MATH,0803,TC1,01,Active,"FOUNDATIONS OF COLLEGE MATH",TBA,TBA,Unassigned,Unassigned,"-13 / 0 / na",1/12/2026,5/6/2026,"King, Jamie L.","MATH 0803 TC1, CRN-20461",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20466,MATH,0903,001,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",TR,"11:00 am-12:20 pm",Corley,104,"-19 / 0 / 36",1/12/2026,5/6/2026,"Hogan, Jessica L.","MATH 0903 001, CRN-20466",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20452,MATH,0903,002,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",MWF,"08:00 am-08:50 am",Corley,104,"-19 / 0 / 36",1/12/2026,5/6/2026,"Winn, Janet L.","MATH 0903 002, CRN-20452",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20468,MATH,0903,TC1,01,Active,"BEGIN/INTERMEDIATE ALGEBRA",TBA,TBA,Unassigned,Unassigned,"-5 / 0 / na",1/12/2026,5/6/2026,"Hogan, Jessica L.","MATH 0903 TC1, CRN-20468",M,"Web Only: Incl Proctored Exams","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20451,MATH,1003,001,01,Active,"COLLEGE MATHEMATICS",MWF,"09:00 am-09:50 am",Corley,103,"-21 / 0 / 36",1/12/2026,5/6/2026,"Winn, Janet L.","MATH 1003 001, CRN-20451",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20474,MATH,1003,002,01,Active,"COLLEGE MATHEMATICS",MWF,"10:00 am-10:50 am","Ross Pendergraft Library",331,"-24 / 0 / 30",1/12/2026,5/6/2026,"Growns, Landon C.","MATH 1003 002, CRN-20474",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20484,MATH,1003,003,01,Active,"COLLEGE MATHEMATICS",MWF,"02:00 pm-02:50 pm",Corley,103,"-15 / 0 / 36",1/12/2026,5/6/2026,"Ballard, Kasey L.","MATH 1003 003, CRN-20484",M,,"Russellville On-campus"
