Subject,Number,Section,Type,Title,Credits,Instructor,Time Slot,Duration,Days,Start,End,Room,Building,Cross-List
MATH,1113,F01,,COLLEGE ALGEBRA,,"Yousuf, Marium",,,,,,,,1
MATH,1113,F01,,COLLEGE ALGEBRA,,"Yousuf, Marium",MWF 10:00am,50,MWF,10:00:00,10:50:00,220,Ross Pendergraft Library,1
MATH,1914,1,,PRECALCULUS,,"Cox, Allie M.",MWF 10:00am,50,MWF,10:00:00,10:50:00,101,Corley,
MATH,1914,1,,PRECALCULUS,,"Cox, Allie M.",T 9:30am,80,T,9:30:00,10:50:00,101,Corley,
MATH,1914,3,,PRECALCULUS,,"Ballard, Kasey L.",R 9:30am,80,R,9:30:00,10:50:00,102,Corley,
MATH,1914,3,,PRECALCULUS,,"Ballard, Kasey L.",MWF 10:00am,50,MWF,10:00:00,10:50:00,268,Corley,
MATH,2914,1,,CALCULUS I,,"Jordan, Susan M.",MWF 9:00am,50,MWF,9:00:00,9:50:00,101,Corley,
MATH,2914,1,,CALCULUS I,,"Jordan, Susan M.",R 9:30am,80,R,9:30:00,10:50:00,101,Corley,
MATH,2914,2,,CALCULUS I,,"Jordan, Susan M.",R 1:00pm,80,R,13:00:00,14:20:00,101,Corley,
MATH,2914,2,,CALCULUS I,,"Jordan, Susan M.",MWF 1:00pm,50,MWF,13:00:00,13:50:00,101,Corley,
MATH,2914,3,,CALCULUS I,,"Jordan, Susan M.",MWF 2:00pm,50,MWF,14:00:00,14:50:00,101,Corley,
MATH,2914,3,,CALCULUS I,,"Jordan, Susan M.",R 2:30pm,80,R,14:30:00,15:50:00,101,Corley,
MATH,2924,1,,CALCULUS II,,"Yousuf, Marium",MWF 1:00pm,50,MWF,13:00:00,13:50:00,102,Corley,
MATH,2924,1,,CALCULUS II,,"Yousuf, Marium",R 1:00pm,80,R,13:00:00,14:20:00,102,Corley,
MATH,2924,2,,CALCULUS II,,"Yousuf, Marium",MWF 8:00am,50,MWF,8:00:00,8:50:00,206,Rothwell,
