Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Bain, Leslie M."
MATH 2914-003,instructor,"Yousuf, Marium","Xiao, Xinli"
MATH 2914-003,room,Corley 101,Corley 103
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2924-003,time,MWF 10:00am,MWF 11:00am
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-001,time,T 9:30am,T 2:30pm
MATH 2934-001,time,MWF 10:00am,MWF 1:00pm
MATH 2934-002,instructor,Staff,"Overduin, Matthew D."
MATH 2934-002,room,Corley 101,Corley 102
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 10:00am
MATH 4123-001,room,Corley 268,Rothwell 207
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 10:00am
MATH 4123-H01,room,Corley 268,Rothwell 207
MATH 0903-001,instructor,Staff 3,"King, Jamie L."
MATH 1113-001,instructor,Staff 3,"King, Jamie L."
MATH 0903-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1113-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1110-003,instructor,"Growns, Landon C.","Winn, Janet L."
MATH 1113-003,instructor,"Growns, Landon C.","Winn, Janet L."
MATH 0803-004,instructor,Staff 2,"Winn, Janet L."
MATH 1003-004,instructor,Staff 2,"Winn, Janet L."
MATH 1003-005,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1003-005,time,MWF 10:00am,MWF 2:00pm
MATH 1003-006,instructor,"King, Jamie L.","Ballard, Kasey L."
MATH 1113-006,instructor,"Taylor, Teresa L.","Jordan, Susan M."
MATH 1113-006,time,TR 9:30am,TR 2:30pm
MATH 1113-006,room,Corley 104,Corley 101
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Taylor, Teresa L."
MATH 1203-TC1,instructor,"Bain, Leslie M.","Cox, Allie M."
MATH 2703-002,instructor,"Limperis, Thomas G.","Jordan, Susan M."
MATH 2703-002,room,Rothwell 206,Corley 101
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3033-001,time,TR 11:00am,TR 2:30pm
MATH 4971-001,time,T 11:00am,W 12:00pm
STAT 2163-001,instructor,"King, Jamie L.","Bain, Leslie M."
STAT 2163-TC1,instructor,"Bain, Leslie M.","Yousuf, Marium"
