Subject,Number,Section,Type,Title,Credits,Instructor,Time Slot,Duration,Days,Start,End,Room,Building,Cross-List,Delivery Mode
MATH,1113,F01,,College Algebra,3.0,new_instructor,ONLINE,,,,,,,,online
MATH,1113,F01,,College Algebra,3.0,new_instructor,MWF 10:00am,50.0,MWF,10:00:00,10:50:00,269,Corley,,in_person
MATH,1914,001,,Precalculus,4.0,"Cox, Allie M.",MWF 8:00am,50.0,MWF,08:00:00,08:50:00,101,Corley,,in_person
MATH,1914,001,,Precalculus,4.0,"Cox, Allie M.",T 9:30am,80.0,T,09:30:00,10:50:00,101,Corley,,in_person
MATH,1914,003,,Precalculus,4.0,"Ballard, Kasey L.",R 9:30am,80.0,R,09:30:00,10:50:00,102,Corley,,in_person
MATH,1914,003,,Precalculus,4.0,"Ballard, Kasey L.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,268,Corley,,in_person
MATH,2914,001,,Calculus I,4.0,"Jordan, Susan M.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,101,Corley,,in_person
MATH,2914,001,,Calculus I,4.0,"Jordan, Susan M.",R 9:30am,80.0,R,09:30:00,10:50:00,101,Corley,,in_person
MATH,2914,002,,Calculus I,4.0,"Jordan, Susan M.",R 1:00pm,80.0,R,13:00:00,14:20:00,101,Corley,,in_person
MATH,2914,002,,Calculus I,4.0,"Jordan, Susan M.",MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,101,Corley,,in_person
MATH,2914,003,,Calculus I,4.0,new_instructor,MWF 2:00pm,50.0,MWF,14:00:00,14:50:00,101,Corley,,in_person
MATH,2914,003,,Calculus I,4.0,new_instructor,R 2:30pm,80.0,R,14:30:00,15:50:00,101,Corley,,in_person
MATH,2924,001,,Calculus II,4.0,new_professor,MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,102,Corley,,in_person
MATH,2924,001,,Calculus II,4.0,new_professor,R 1:00pm,80.0,R,13:00:00,14:20:00,102,Corley,,in_person
MATH,2924,002,,Calculus II,4.0,"Limperis, Thomas G.",MWF 12:00pm,50.0,MWF,12:00:00,12:50:00,206,Rothwell,,in_person
MATH,2924,002,,Calculus II,4.0,"Limperis, Thomas G.",T 1:00pm,80.0,T,13:00:00,14:20:00,206,Rothwell,,in_person
MATH,2924,003,,Calculus II,4.0,"Limperis, Thomas G.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,306,Rothwell,,in_person
MATH,2924,003,,Calculus II,4.0,"Limperis, Thomas G.",R 9:30am,80.0,R,09:30:00,10:50:00,206,Rothwell,,in_person
MATH,2934,001,,Calculus III,4.0,new_professor,T 9:30am,80.0,T,09:30:00,10:50:00,207,Rothwell,,in_person
MATH,2934,001,,Calculus III,4.0,new_professor,MWF 10:00am,50.0,MWF,10:00:00,10:50:00,207,Rothwell,,in_person
MATH,2934,002,,Calculus III,4.0,new_professor,MWF 11:00am,50.0,MWF,11:00:00,11:50:00,101,Corley,,in_person
MATH,2934,002,,Calculus III,4.0,new_professor,R 11:00am,80.0,R,11:00:00,12:20:00,101,Corley,,in_person
MATH,5173,TC1,,Advanced Biostatistics,3.0,"Jordan, Scott M.",ONLINE,,,,,,,,online
STAT,4173,TC1,,Advanced Biostatistics,3.0,"Jordan, Scott M.",ONLINE,,,,,,,,online
MATH,4123,001,Lecture,Mathematical Modeling,3.0,new_professor,MWF 8:00am,50.0,MWF,08:00:00,08:50:00,101,Corley,,in_person
MATH,4123,H01,Lecture,Mathematical Modeling,3.0,new_professor,MWF 8:00am,50.0,MWF,08:00:00,08:50:00,101,Corley,,in_person
MATH,0803,001,,Foundations of College Math,3.0,"Winn, Janet L.",TR 9:30am,80.0,TR,09:30:00,10:50:00,103,Corley,,in_person
MATH,1003,001,,College Mathematics,3.0,"Winn, Janet L.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,103,Corley,,in_person
MATH,0803,002,,Foundations of College Math,3.0,"Growns, Landon C.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,331,Ross Pendergraft Library,,in_person
MATH,1003,002,,College Mathematics,3.0,"Growns, Landon C.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,331,Ross Pendergraft Library,,in_person
MATH,0803,003,,Foundations of College Math,3.0,"Ballard, Kasey L.",MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,103,Corley,,in_person
MATH,1003,003,,College Mathematics,3.0,"Ballard, Kasey L.",MWF 2:00pm,50.0,MWF,14:00:00,14:50:00,103,Corley,,in_person
MATH,0803,004,Lecture,Foundations of College Math,3.0,new_instructor,MWF 8:00am,50.0,MWF,08:00:00,08:50:00,101,Corley,,in_person
MATH,1003,004,Lecture,College Mathematics,3.0,new_instructor,MWF 9:00am,50.0,MWF,09:00:00,09:50:00,101,Corley,,in_person
MATH,0803,TC1,,Foundations of College Math,3.0,"King, Jamie L.",ONLINE,,,,,,,,online
MATH,1003,TC1,,College Mathematics,3.0,"King, Jamie L.",ONLINE,,,,,,,,online
MATH,0903,001,,Beginning/Intermediate Algebra,3.0,new_instructor,TR 11:00am,80.0,TR,11:00:00,12:20:00,104,Corley,,in_person
MATH,1113,001,,College Algebra,3.0,new_instructor,MWF 11:00am,50.0,MWF,11:00:00,11:50:00,104,Corley,,in_person
MATH,0903,002,,Beginning/Intermediate Algebra,3.0,"Winn, Janet L.",MWF 8:00am,50.0,MWF,08:00:00,08:50:00,104,Corley,,in_person
MATH,1113,002,,College Algebra,3.0,"Winn, Janet L.",TR 8:00am,80.0,TR,08:00:00,09:20:00,104,Corley,,in_person
MATH,0903,TC1,,Beginning/Intermediate Algebra,3.0,new_instructor,ONLINE,,,,,,,,online
MATH,1113,TC1,,College Algebra,3.0,new_instructor,ONLINE,,,,,,,,online
MATH,1110,003,,College Algebra Lab,2.0,"Growns, Landon C.",MW 2:00pm,50.0,MW,14:00:00,14:50:00,221,Rothwell,,in_person
MATH,1113,003,,College Algebra,3.0,"Growns, Landon C.",MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,221,Rothwell,,in_person
MATH,1003,005,,College Mathematics,3.0,"Winn, Janet L.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,104,Corley,,in_person
MATH,1003,006,,College Mathematics,3.0,"King, Jamie L.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,221,Rothwell,,in_person
MATH,1003,TC2,,College Mathematics,3.0,"King, Jamie L.",ONLINE,,,,,,,,online
MATH,1113,006,,College Algebra,3.0,"Taylor, Teresa L.",TR 9:30am,80.0,TR,09:30:00,10:50:00,104,Corley,,in_person
MATH,1113,TC2,,College Algebra,3.0,"Ballard, Kasey L.",ONLINE,,,,,,,,online
MATH,1203,TC1,,Plane Trigonometry,3.0,"Bain, Leslie M.",ONLINE,,,,,,,,online
MATH,2033,001,,Mathematical Concepts I,3.0,"Taylor, Teresa L.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,102,Corley,,in_person
MATH,2043,001,,Mathematical Concepts II,3.0,"Taylor, Teresa L.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,102,Corley,,in_person
MATH,2043,TC1,,Mathematical Concepts II,3.0,"Taylor, Teresa L.",ONLINE,,,,,,,,online
MATH,2223,001,,Quantitative Business Analysis,3.0,"Cox, Allie M.",MWF 11:00am,50.0,MWF,11:00:00,11:50:00,103,Corley,,in_person
MATH,2223,002,,Quantitative Business Analysis,3.0,"Cox, Allie M.",TR 11:00am,80.0,TR,11:00:00,12:20:00,103,Corley,,in_person
MATH,2223,003,,Quantitative Business Analysis,3.0,"Cox, Allie M.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,103,Corley,,in_person
MATH,2223,TC1,,Quantitative Business Analysis,3.0,"Cox, Allie M.",ONLINE,,,,,,,,online
MATH,2243,001,,Calculus for Business and Economics,3.0,"Overduin, Matthew D.",MWF 1:00pm,50.0,MWF,13:00:00,13:50:00,104,Corley,,in_person
MATH,2243,002,,Calculus for Business and Economics,3.0,"Overduin, Matthew D.",TR 9:30am,80.0,TR,09:30:00,10:50:00,220,Ross Pendergraft Library,,in_person
MATH,2703,001,,Discrete Mathematics,3.0,"Jordan, Susan M.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,101,Corley,,in_person
MATH,2703,002,,Discrete Mathematics,3.0,"Limperis, Thomas G.",TR 11:00am,80.0,TR,11:00:00,12:20:00,206,Rothwell,,in_person
MATH,2703,TC1,,Discrete Mathematics,3.0,"Jordan, Susan M.",ONLINE,,,,,,,,online
MATH,3033,001,,Methods of Teaching Elementary Mathematics,3.0,"Taylor, Teresa L.",TR 11:00am,80.0,TR,11:00:00,12:20:00,102,Corley,,in_person
MATH,3123,001,,College Geometry,3.0,"Overduin, Matthew D.",MWF 2:00pm,50.0,MWF,14:00:00,14:50:00,102,Corley,,in_person
MATH,3243,001,,Differential Equations I,3.0,"Xiao, Xinli",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,206,Rothwell,,in_person
MATH,3243,002,,Differential Equations I,3.0,"Limperis, Thomas G.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,212,Rothwell,,in_person
MATH,4003,001,,Linear Algebra I,3.0,"Xiao, Xinli",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,206,Rothwell,,in_person
MATH,4971,001,,Mathematics Senior Seminar,1.0,"Xiao, Xinli",T 11:00am,80.0,T,11:00:00,12:20:00,101,Corley,,in_person
STAT,2163,001,,Introduction to Statistical Methods,3.0,"King, Jamie L.",MWF 10:00am,50.0,MWF,10:00:00,10:50:00,221,Rothwell,,in_person
STAT,2163,002,,Introduction to Statistical Methods,3.0,"Bain, Leslie M.",MWF 9:00am,50.0,MWF,09:00:00,09:50:00,104,Corley,,in_person
STAT,2163,003,,Introduction to Statistical Methods,3.0,"Bain, Leslie M.",TR 1:00pm,80.0,TR,13:00:00,14:20:00,104,Corley,,in_person
